NZ_AJZU01000004.1	ompK36	99.369	1110	128234	129343	287258	1	1104	1104
NZ_AJZU01000006.1	lon	87.606	2356	130545	132899	250854	2355	1	2355
NZ_AJZU01000007.1	ftsI	99.434	1767	48953	50719	242268	1767	1	1767
NZ_AJZU01000008.1	envZ	99.853	1356	48977	50332	204395	1356	1	1356
NZ_AJZU01000010.1	uhpT	84.806	1369	86364	87730	177246	1367	1	1392
NZ_AJZU01000025.1	ptsI	88.748	1733	8649	10376	86265	1	1728	1728
NZ_AJZU01000029.1	cyaA	84.302	2478	26726	29202	70006	1	2474	2547
NZ_AJZU01000042.1	blaKPC-3	100.000	882	21899	22780	31877	1	882	882
NZ_AJZU01000042.1	blaKPC-2	99.887	882	21899	22780	31877	1	882	882
NZ_AJZU01000043.1	fosA5	98.544	412	13933	14344	28689	412	1	420
